"","No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","Date"
"22202",22202,2015,9,12,1,7,7,3,50,400,34,17,1012.3,7.6,0,"NW",3.4,"Aotizhongxin",2015-09-12
"22203",22203,2015,9,12,2,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,17.1,1012.7,6,0,"NW",2.9,"Aotizhongxin",2015-09-12
"22204",22204,2015,9,12,3,5,5,2,38,200,42,17,1012.8,4.6,0,"NW",4,"Aotizhongxin",2015-09-12
"22205",22205,2015,9,12,4,6,6,2,28,200,56.3533584105554,16.8,1013.5,4.5,0,"NW",3.5,"Aotizhongxin",2015-09-12
"22206",22206,2015,9,12,5,5,8,2,36,300,41,16.2,1013.9,4.6,0,"NW",3.2,"Aotizhongxin",2015-09-12
"22207",22207,2015,9,12,6,3,8,2,42,300,32,15.8,1014.4,5.1,0,"WNW",2.7,"Aotizhongxin",2015-09-12
"22208",22208,2015,9,12,7,8,10,3,34,300,40,16.2,1015.1,5.5,0,"NW",3.6,"Aotizhongxin",2015-09-12
"22209",22209,2015,9,12,8,10,18,4,37,400,37,17.6,1015.3,5.5,0,"WNW",3,"Aotizhongxin",2015-09-12
"22210",22210,2015,9,12,9,7,14,5,34,400,40,18.9,1015.6,5,0,"WNW",3.4,"Aotizhongxin",2015-09-12
"22211",22211,2015,9,12,10,8,8,6,25,400,53,20.4,1015.6,3.1,0,"NW",3.6,"Aotizhongxin",2015-09-12
"22212",22212,2015,9,12,11,4,5,5,21,400,62,21.1,1015.2,3.3,0,"NW",3.9,"Aotizhongxin",2015-09-12
"22213",22213,2015,9,12,12,7,7,4,16,400,72,22.4,1014,4.4,0,"NW",3.7,"Aotizhongxin",2015-09-12
"22214",22214,2015,9,12,13,7,7,3,16,400,77,23.3,1013.1,4.3,0,"NW",4.9,"Aotizhongxin",2015-09-12
"22215",22215,2015,9,12,14,5,8,3,15,300,80,24.3,1012,5.1,0,"NW",3.8,"Aotizhongxin",2015-09-12
"22216",22216,2015,9,12,15,7,14,3,18,300,82,25,1011.3,5.7,0,"WNW",5.1,"Aotizhongxin",2015-09-12
"22217",22217,2015,9,12,16,3,9,2,17,300,86,25.5,1010.5,5.1,0,"WNW",3.8,"Aotizhongxin",2015-09-12
"22218",22218,2015,9,12,17,5,11,2,21,300,84,25.6,1010.3,5.7,0,"W",4.1,"Aotizhongxin",2015-09-12
"22219",22219,2015,9,12,18,5,13,2,29,300,75,24.8,1010,5,0,"WSW",2.5,"Aotizhongxin",2015-09-12
"22220",22220,2015,9,12,19,10,33,2,60,400,48,22.5,1010.4,6.3,0,"WSW",2.8,"Aotizhongxin",2015-09-12
"22221",22221,2015,9,12,20,16,51,3,84,600,28,22,1011.1,7,0,"WSW",4.2,"Aotizhongxin",2015-09-12
"22222",22222,2015,9,12,21,19,61,3,86,600,22,21.2,1011.7,7.8,0,"WSW",3.6,"Aotizhongxin",2015-09-12
"22223",22223,2015,9,12,22,17,56,3,79,600,27,20.2,1011.8,8.2,0,"WSW",2.3,"Aotizhongxin",2015-09-12
"22224",22224,2015,9,12,23,18,51,3,79,600,25,19.8,1011.9,8.8,0,"WSW",2.7,"Aotizhongxin",2015-09-12
"22225",22225,2015,9,13,0,18,70,4,86,900,18,18.7,1012.1,9.2,0,"W",1.8,"Aotizhongxin",2015-09-13
"22226",22226,2015,9,13,1,137,296,4,91,1700,6,17.8,1012.3,9.4,0,"WSW",1.4,"Aotizhongxin",2015-09-13
"22227",22227,2015,9,13,2,25,74,3,94,800,2,15.1,1012.5,10.5,0,"NNE",0.9,"Aotizhongxin",2015-09-13
"22228",22228,2015,9,13,3,26,54,3,89,700,2,15.3,1012.5,10.7,0,"SE",1.9,"Aotizhongxin",2015-09-13
"22229",22229,2015,9,13,4,21,57,3,85,700,2,13.5,1012.5,10.8,0,"NE",0.2,"Aotizhongxin",2015-09-13
"22230",22230,2015,9,13,5,19,49,3,80,700,2,12.7,1012.7,11.1,0,"N",0.6,"Aotizhongxin",2015-09-13
"22231",22231,2015,9,13,6,20,51,3,77,700,2,12.4,1013,11.1,0,"NE",0.3,"Aotizhongxin",2015-09-13
"22232",22232,2015,9,13,7,19,43,3,66,600,2,15.5,1013.1,12.3,0,"WNW",0.5,"Aotizhongxin",2015-09-13
"22233",22233,2015,9,13,8,16,36,4,55,500,11,18.5,1013.2,11.3,0,"SW",0.8,"Aotizhongxin",2015-09-13
"22234",22234,2015,9,13,9,17,35,5,57,600,18,21.1,1013.4,9.3,0,"ENE",1.4,"Aotizhongxin",2015-09-13
"22235",22235,2015,9,13,10,18,47,6,45,600,41,23.9,1013.5,10.9,0,"NE",1.2,"Aotizhongxin",2015-09-13
"22236",22236,2015,9,13,11,16,47,6,48,600,52,25.5,1013.1,10.1,0,"NW",1.5,"Aotizhongxin",2015-09-13
"22237",22237,2015,9,13,12,18,29,5,53,700,62,27.4,1012.5,8.8,0,"W",1.2,"Aotizhongxin",2015-09-13
"22238",22238,2015,9,13,13,12,12,3,40,500,86,28.6,1011.6,6.6,0,"WSW",2.2,"Aotizhongxin",2015-09-13
"22239",22239,2015,9,13,14,13,17,4,35,400,108,29.1,1010.9,6.5,0,"WSW",3.2,"Aotizhongxin",2015-09-13
"22240",22240,2015,9,13,15,15,29,2,25,300,119,29.3,1010.4,8.4,0,"SW",3.2,"Aotizhongxin",2015-09-13
"22241",22241,2015,9,13,16,13,42,2,24,300,130,29.3,1010,9.9,0,"S",2.5,"Aotizhongxin",2015-09-13
"22242",22242,2015,9,13,17,16,44,3,26,300,134,28.9,1010,9.1,0,"SSW",2.1,"Aotizhongxin",2015-09-13
"22243",22243,2015,9,13,18,16,49,4,33,400,117,27.4,1010,8.3,0,"SW",2.8,"Aotizhongxin",2015-09-13
"22244",22244,2015,9,13,19,16,61,4,41,500,113,25.9,1010.3,9.7,0,"SW",2.5,"Aotizhongxin",2015-09-13
"22245",22245,2015,9,13,20,27,95,5,58,700,88,24.9,1011,10.7,0,"SW",2.2,"Aotizhongxin",2015-09-13
"22246",22246,2015,9,13,21,36,97,8,73,800,69,24.4,1011.5,10.7,0,"SW",3.3,"Aotizhongxin",2015-09-13
"22247",22247,2015,9,13,22,34,91,8,80,800,55,23.1,1011.6,10.8,0,"WSW",1.7,"Aotizhongxin",2015-09-13
"22248",22248,2015,9,13,23,33,91,7,87,800,44,22.1,1011.7,11.5,0,"WSW",1.7,"Aotizhongxin",2015-09-13
"22249",22249,2015,9,14,0,38,91,8,67,700,59,21.2,1011.9,11.8,0,"WSW",1.7,"Aotizhongxin",2015-09-14
"22250",22250,2015,9,14,1,49,177,9,102,800,21,18.7,1012,12.4,0,"W",1.7,"Aotizhongxin",2015-09-14
"22251",22251,2015,9,14,2,40,115,2,114,800,4,16.6,1012.1,13.7,0,"S",1,"Aotizhongxin",2015-09-14
"22252",22252,2015,9,14,3,35,101,2,122,900,2,16,1012.4,13.3,0,"NNE",0.3,"Aotizhongxin",2015-09-14
"22253",22253,2015,9,14,4,53,117,2,111,1000,56.3533584105554,15.1,1012.6,13.3,0,"E",0.6,"Aotizhongxin",2015-09-14
"22254",22254,2015,9,14,5,56,116,2,98,1000,2,15.6,1013.2,13.8,0,"NE",1.3,"Aotizhongxin",2015-09-14
"22255",22255,2015,9,14,6,48,95,2,91,900,2,14.8,1013.9,13.5,0,"E",0.8,"Aotizhongxin",2015-09-14
"22256",22256,2015,9,14,7,40,81,2,81,800,2,16,1014.8,14.2,0,"ENE",1.3,"Aotizhongxin",2015-09-14
"22257",22257,2015,9,14,8,45,92,2,79,900,7,18.3,1015.3,14.4,0,"ENE",1.3,"Aotizhongxin",2015-09-14
"22258",22258,2015,9,14,9,59,118,2,84,1000,13,20.1,1015.6,14.5,0,"ESE",1.3,"Aotizhongxin",2015-09-14
"22259",22259,2015,9,14,10,82,149,10,109,1200,25,21.8,1015.7,14.9,0,"NNE",1.2,"Aotizhongxin",2015-09-14
"22260",22260,2015,9,14,11,102,176,10,139,1500,27,23.8,1015.4,14.2,0,"ESE",1,"Aotizhongxin",2015-09-14
"22261",22261,2015,9,14,12,119,185,12,160,1600,46,25,1014.8,13.5,0,"SSE",2.1,"Aotizhongxin",2015-09-14
"22262",22262,2015,9,14,13,104,109,21,73,1100,139,25,1014.5,12.6,0,"SSE",2.6,"Aotizhongxin",2015-09-14
"22263",22263,2015,9,14,14,116,155,24,48,1000,170,25.5,1014.3,12,0,"SSE",1.9,"Aotizhongxin",2015-09-14
"22264",22264,2015,9,14,15,91,107,23,38,900,171,25.4,1013.9,10.8,0,"SSW",2.8,"Aotizhongxin",2015-09-14
"22265",22265,2015,9,14,16,89,115,19,40,900,185,25.8,1013.6,10.4,0,"S",2,"Aotizhongxin",2015-09-14
"22266",22266,2015,9,14,17,70,83,16,39,700,184,25.7,1013.6,7.8,0,"S",2.5,"Aotizhongxin",2015-09-14
"22267",22267,2015,9,14,18,54,89,15,41,700,169,24.7,1013.6,9.8,0,"S",1.3,"Aotizhongxin",2015-09-14
"22268",22268,2015,9,14,19,58,103,12,45,800,162,23,1014.1,13.2,0,"SSE",1.1,"Aotizhongxin",2015-09-14
"22269",22269,2015,9,14,20,64,125,11,58,1200,141,21.4,1014.9,12.8,0,"SSE",0.8,"Aotizhongxin",2015-09-14
"22270",22270,2015,9,14,21,72,103,13,77,1300,106,19.6,1015.5,13.3,0,"S",0.5,"Aotizhongxin",2015-09-14
"22271",22271,2015,9,14,22,76,118,10,119,1600,55,17.7,1015.8,13.2,0,"SE",1.1,"Aotizhongxin",2015-09-14
"22272",22272,2015,9,14,23,82,120,13,98,1400,71,17.3,1016,13.4,0,"SSE",0.7,"Aotizhongxin",2015-09-14
"22273",22273,2015,9,15,0,85,108,13,87,1200,76,18.4,1016.4,12.8,0,"SSE",1.3,"Aotizhongxin",2015-09-15
"22274",22274,2015,9,15,1,86,136,12,108,1200,50,16.1,1016.4,13.6,0,"E",1,"Aotizhongxin",2015-09-15
"22275",22275,2015,9,15,2,94,141,8,109,1200,37,15.4,1016.2,13.6,0,"ENE",0.8,"Aotizhongxin",2015-09-15
"22276",22276,2015,9,15,3,99,153,4,126,1500,16,15,1016.1,13.7,0,"ENE",1,"Aotizhongxin",2015-09-15
"22277",22277,2015,9,15,4,117,176,2,140,1700,2,15.1,1016.2,13.8,0,"NE",0.9,"Aotizhongxin",2015-09-15
"22278",22278,2015,9,15,5,124,156,2,122,1700,2,14.7,1016.5,13.4,0,"NE",0.7,"Aotizhongxin",2015-09-15
"22279",22279,2015,9,15,6,135,154,2,124,1600,2,14,1016.8,13,0,"NNE",0.7,"Aotizhongxin",2015-09-15
"22280",22280,2015,9,15,7,126,133,2,109,1500,3,15.4,1017.1,13.8,0,"ENE",0.7,"Aotizhongxin",2015-09-15
"22281",22281,2015,9,15,8,132,132,2,93,1400,13,17.4,1017.2,13.1,0,"N",1.5,"Aotizhongxin",2015-09-15
"22282",22282,2015,9,15,9,132,154,5,95,1300,25,19.3,1017.5,13.9,0,"NE",1.7,"Aotizhongxin",2015-09-15
"22283",22283,2015,9,15,10,133,161,10,85,1300,53,21,1017.5,13.9,0,"ENE",1.5,"Aotizhongxin",2015-09-15
"22284",22284,2015,9,15,11,134,155,19,66,1300,107,22.5,1017,14.6,0,"NNE",1.4,"Aotizhongxin",2015-09-15
"22285",22285,2015,9,15,12,126,135,26,65,1400,137,24.1,1016.2,14.8,0,"E",1,"Aotizhongxin",2015-09-15
"22286",22286,2015,9,15,13,119,119,33,48,1400,189,24.4,1015.3,14.2,0,"NE",1.4,"Aotizhongxin",2015-09-15
"22287",22287,2015,9,15,14,113,113,32,43,1400,220,25.2,1014.6,13.1,0,"E",2.7,"Aotizhongxin",2015-09-15
"22288",22288,2015,9,15,15,120,130,36,46,1300,251,25.8,1014,11.9,0,"ESE",1.6,"Aotizhongxin",2015-09-15
"22289",22289,2015,9,15,16,96,96,27,39,1100,244,25.6,1013.7,11.7,0,"SE",2.4,"Aotizhongxin",2015-09-15
"22290",22290,2015,9,15,17,97,124,27,47,1100,253,25.1,1013.6,11.6,0,"SE",1.8,"Aotizhongxin",2015-09-15
"22291",22291,2015,9,15,18,103,128,25,55,1300,237,24.4,1013.5,11,0,"SSW",1.5,"Aotizhongxin",2015-09-15
"22292",22292,2015,9,15,19,98,130,19,66,1300,202,22.1,1013.6,11.8,0,"SSW",0.9,"Aotizhongxin",2015-09-15
"22293",22293,2015,9,15,20,111,151,15,91,1500,147,19.3,1014,13.5,0,"ENE",0.4,"Aotizhongxin",2015-09-15
"22294",22294,2015,9,15,21,119,153,11,102,1800,110,17.9,1014.3,14.2,0,"SW",0,"Aotizhongxin",2015-09-15
"22295",22295,2015,9,15,22,124,161,7,165,1800,42,17.2,1014.4,14.5,0,"SW",0.2,"Aotizhongxin",2015-09-15
"22296",22296,2015,9,15,23,127,169,5,201,2000,4,16.8,1014.5,14.1,0,"NW",0,"Aotizhongxin",2015-09-15
"22297",22297,2015,9,16,0,124,153,2,191,1900,3,16.3,1014.6,14.5,0,"NE",0,"Aotizhongxin",2015-09-16
"22298",22298,2015,9,16,1,131,186,2,185,2000,4,15.9,1014.6,14.3,0,"E",0.7,"Aotizhongxin",2015-09-16
"22299",22299,2015,9,16,2,182,245,6,180,2200,2,15.7,1014.5,14.4,0,"NNE",1,"Aotizhongxin",2015-09-16
"22300",22300,2015,9,16,3,165,174,4,159,1700,2,15.8,1014.3,14.5,0,"E",1,"Aotizhongxin",2015-09-16
"22301",22301,2015,9,16,4,158,158,4,145,1600,56.3533584105554,15,1014.4,14.2,0,"ENE",0.5,"Aotizhongxin",2015-09-16
"22302",22302,2015,9,16,5,154,154,3,101,1600,18,14.7,1014.4,14.2,0,"ENE",0.5,"Aotizhongxin",2015-09-16
"22303",22303,2015,9,16,6,153,153,3,92,1400,33,14.2,1014.7,13.6,0,"ENE",0.3,"Aotizhongxin",2015-09-16
"22304",22304,2015,9,16,7,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,15.1,1015,14.6,0,"ENE",0.9,"Aotizhongxin",2015-09-16
"22305",22305,2015,9,16,8,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,17.3,1015.2,14.6,0,"NE",1.2,"Aotizhongxin",2015-09-16
"22306",22306,2015,9,16,9,98,98,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,18.9,1015.4,15,0,"ENE",1.7,"Aotizhongxin",2015-09-16
"22307",22307,2015,9,16,10,152,176,9,73,1500,67,21,1015.3,15.3,0,"ENE",1.2,"Aotizhongxin",2015-09-16
"22308",22308,2015,9,16,11,177,203,12,91,1600,74,22.9,1015.3,15.5,0,"NNE",0.6,"Aotizhongxin",2015-09-16
"22309",22309,2015,9,16,12,178,178,14,82,1600,127,24.6,1014.6,14.7,0,"SSW",1.2,"Aotizhongxin",2015-09-16
"22310",22310,2015,9,16,13,143,143,15,61,1300,182,25.3,1014.1,14.4,0,"SW",2.1,"Aotizhongxin",2015-09-16
"22311",22311,2015,9,16,14,116,116,15,38,1000,217,26.2,1013.4,13,0,"SSW",2.1,"Aotizhongxin",2015-09-16
"22312",22312,2015,9,16,15,101,101,16,30,900,224,26.5,1012.7,13.3,0,"WSW",1.6,"Aotizhongxin",2015-09-16
"22313",22313,2015,9,16,16,82.7736108263272,110.060391311944,13,59.3058331864524,900,213,26.3,1012.3,13.1,0,"SW",2.4,"Aotizhongxin",2015-09-16
"22314",22314,2015,9,16,17,82.7736108263272,110.060391311944,15,59.3058331864524,1262.94514539774,209,25.6,1012.1,13.4,0,"SW",2,"Aotizhongxin",2015-09-16
"22315",22315,2015,9,16,18,61,195,18,50,1000,191,24.5,1012.2,13.7,0,"SW",1.7,"Aotizhongxin",2015-09-16
"22316",22316,2015,9,16,19,99,185,19,53,1200,174,23.9,1012.7,14,0,"SSW",1.6,"Aotizhongxin",2015-09-16
"22317",22317,2015,9,16,20,104,175,19,54,1200,155,22.5,1013.3,14.3,0,"SSE",0.9,"Aotizhongxin",2015-09-16
"22318",22318,2015,9,16,21,117,187,16,78,1400,128,20.1,1013.4,15.7,0,"SE",0.8,"Aotizhongxin",2015-09-16
"22319",22319,2015,9,16,22,143,208,19,105,1500,93,18.7,1013.6,15.9,0,"ESE",0.8,"Aotizhongxin",2015-09-16
"22320",22320,2015,9,16,23,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,17.9,1013.6,15.9,0,"ESE",0.8,"Aotizhongxin",2015-09-16
"22321",22321,2015,9,17,0,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,17.8,1013.6,15.8,0,"NE",0.4,"Aotizhongxin",2015-09-17
"22322",22322,2015,9,17,1,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,17.8,1013.7,15.8,0,"ENE",0.5,"Aotizhongxin",2015-09-17
"22323",22323,2015,9,17,2,82.7736108263272,110.060391311944,17.3759014093609,59.3058331864524,1262.94514539774,56.3533584105554,18.1,1013.5,15.9,0,"NE",1.5,"Aotizhongxin",2015-09-17
"22324",22324,2015,9,17,3,82.7736108263272,110.060391311944,14,159,2200,2,17.5,1013.4,15.8,0,"NE",1.3,"Aotizhongxin",2015-09-17
"22325",22325,2015,9,17,4,121,211,5,146,1700,2,17.2,1013.6,15.4,0,"E",1,"Aotizhongxin",2015-09-17
"22326",22326,2015,9,17,5,178,180,4,119,1500,15,16.4,1013.6,15.4,0,"ENE",0.7,"Aotizhongxin",2015-09-17
"22327",22327,2015,9,17,6,177,177,3,90,1500,36,16.3,1013.7,15.5,0,"ENE",1,"Aotizhongxin",2015-09-17
"22328",22328,2015,9,17,7,170,170,3,84,1400,39,16.6,1014.2,15.5,0,"ENE",1,"Aotizhongxin",2015-09-17
"22329",22329,2015,9,17,8,174,174,3,101,1500,20,18.3,1014.4,15.5,0,"ENE",1.4,"Aotizhongxin",2015-09-17
"22330",22330,2015,9,17,9,166,166,5,96,1600,42,20,1014.3,15.4,0,"ENE",1.3,"Aotizhongxin",2015-09-17
"22331",22331,2015,9,17,10,159,167,7,76,1500,78,21.3,1014.5,15.6,0,"NE",1.4,"Aotizhongxin",2015-09-17
"22332",22332,2015,9,17,11,157,168,11,64,1500,118,23.3,1014.2,16.6,0,"SSE",1,"Aotizhongxin",2015-09-17
"22333",22333,2015,9,17,12,169,187,15,60,1600,164,24.5,1013.4,16.5,0,"E",0.8,"Aotizhongxin",2015-09-17
"22334",22334,2015,9,17,13,165,178,19,68,1700,180,25.8,1012.5,16.6,0,"SSW",1.7,"Aotizhongxin",2015-09-17
"22335",22335,2015,9,17,14,158,179,26,66,1600,200,27,1011.6,16.3,0,"SW",1.9,"Aotizhongxin",2015-09-17
"22336",22336,2015,9,17,15,116,127,27,32,1500,221,27.1,1011.2,16.1,0,"WSW",3.1,"Aotizhongxin",2015-09-17
"22337",22337,2015,9,17,16,110,139,23,32,1400,226,26.8,1010.8,16.1,0,"WSW",2.4,"Aotizhongxin",2015-09-17
"22338",22338,2015,9,17,17,107,138,23,33,1400,220,26.9,1010.9,16.5,0,"SSW",1.6,"Aotizhongxin",2015-09-17
"22339",22339,2015,9,17,18,118,159,20,43,1800,211,26,1011.3,16.3,0,"SSW",1.8,"Aotizhongxin",2015-09-17
"22340",22340,2015,9,17,19,129,169,20,55,1500,187,25,1011.6,16.2,0,"SSW",1,"Aotizhongxin",2015-09-17
"22341",22341,2015,9,17,20,149,195,22,89,1800,135,22.3,1012.2,17.2,0,"SSW",0.8,"Aotizhongxin",2015-09-17
"22342",22342,2015,9,17,21,164,209,21,105,1900,104,20.6,1012.4,17.6,0,"SE",1,"Aotizhongxin",2015-09-17
"22343",22343,2015,9,17,22,177,217,21,167,2400,47,21,1012.2,17.8,0,"ESE",0.9,"Aotizhongxin",2015-09-17
"22344",22344,2015,9,17,23,180,229,13,188,2500,13,21,1012.2,18,0,"NE",0.4,"Aotizhongxin",2015-09-17
"22345",22345,2015,9,18,0,241,272,8,145,2000,36,21,1012.3,18,0,"ENE",1,"Aotizhongxin",2015-09-18
"22346",22346,2015,9,18,1,252,252,6,117,2000,39,20.8,1011.9,18.6,0,"ENE",1.1,"Aotizhongxin",2015-09-18
"22347",22347,2015,9,18,2,237,237,3,96,1800,34,20.2,1012,19,0.4,"ESE",1.2,"Aotizhongxin",2015-09-18
"22348",22348,2015,9,18,3,228,228,3,94,1600,26,21.1,1012.1,18.8,0.1,"NNW",2.3,"Aotizhongxin",2015-09-18
"22349",22349,2015,9,18,4,206,206,3,107,1500,56.3533584105554,20.1,1012.4,18.4,0,"E",1.4,"Aotizhongxin",2015-09-18
"22350",22350,2015,9,18,5,87,87,3,32,1000,104,20.2,1012.6,18.3,0,"NE",1,"Aotizhongxin",2015-09-18
"22351",22351,2015,9,18,6,53,53,3,31,1000,108,20.2,1012.9,18,0,"NE",1.3,"Aotizhongxin",2015-09-18
"22352",22352,2015,9,18,7,89,89,2,63,1200,68,20,1013.2,18.1,0,"NE",0.7,"Aotizhongxin",2015-09-18
"22353",22353,2015,9,18,8,118,118,3,75,1300,63,20.8,1013.6,16.8,0,"N",1.8,"Aotizhongxin",2015-09-18
"22354",22354,2015,9,18,9,86,86,4,52,1100,86,21.9,1013.8,17.1,0,"NNE",1.6,"Aotizhongxin",2015-09-18
"22355",22355,2015,9,18,10,84,87,5,42,1100,95,24.1,1013.9,16.6,0,"NNE",1.6,"Aotizhongxin",2015-09-18
"22356",22356,2015,9,18,11,78,78,8,39,1100,95,25.8,1013.5,16.1,0,"NNW",2,"Aotizhongxin",2015-09-18
"22357",22357,2015,9,18,12,44,44,7,32,1000,98,27.2,1012.8,15.6,0,"NNE",2.1,"Aotizhongxin",2015-09-18
"22358",22358,2015,9,18,13,25,25,3,17,600,117,28.4,1012.1,13.9,0,"ENE",2,"Aotizhongxin",2015-09-18
"22359",22359,2015,9,18,14,18,18,2,14,400,122,29,1011.7,12.4,0,"NNW",2.7,"Aotizhongxin",2015-09-18
"22360",22360,2015,9,18,15,17,17,2,16,700,120,29.4,1011,11.4,0,"NW",1.8,"Aotizhongxin",2015-09-18
"22361",22361,2015,9,18,16,14,20,2,20,400,127,29.2,1010.6,10.3,0,"E",1.3,"Aotizhongxin",2015-09-18
"22362",22362,2015,9,18,17,17,32,2,29,400,129,28.3,1010.8,13.4,0,"ENE",2,"Aotizhongxin",2015-09-18
"22363",22363,2015,9,18,18,23,46,3,49,500,116,26.4,1011.1,14.2,0,"ENE",1.4,"Aotizhongxin",2015-09-18
"22364",22364,2015,9,18,19,29,58,3,102,1000,68,22.9,1011.2,15.7,0,"SW",0,"Aotizhongxin",2015-09-18
"22365",22365,2015,9,18,20,43,113,3,138,1300,14,21.7,1011.9,15.5,0,"WSW",1.2,"Aotizhongxin",2015-09-18
"22366",22366,2015,9,18,21,49,107,3,155,1600,3,20.5,1012.5,15.9,0,"SW",0.1,"Aotizhongxin",2015-09-18
"22367",22367,2015,9,18,22,54,103,4,144,1900,2,20.1,1013.1,15.9,0,"ENE",1.3,"Aotizhongxin",2015-09-18
"22368",22368,2015,9,18,23,37,74,4,122,1100,2,19.1,1013.4,16,0,"S",0.4,"Aotizhongxin",2015-09-18
"22369",22369,2015,9,19,0,32,62,4,108,800,2,17.8,1013.6,15.2,0,"WNW",1,"Aotizhongxin",2015-09-19
"22370",22370,2015,9,19,1,27,50,3,109,700,2,18.4,1014.1,13,0,"ESE",2.1,"Aotizhongxin",2015-09-19
"22371",22371,2015,9,19,2,24,40,3,98,600,2,16.7,1014,13.6,0,"NW",0.6,"Aotizhongxin",2015-09-19
"22372",22372,2015,9,19,3,20,31,3,88,500,2,15.5,1013.9,13.5,0,"SSW",0.8,"Aotizhongxin",2015-09-19
"22373",22373,2015,9,19,4,16,34,2,86,500,2,14.8,1014.1,13.2,0,"ESE",0.4,"Aotizhongxin",2015-09-19
"22374",22374,2015,9,19,5,17,42,2,80,600,2,18,1014.3,9.9,0,"NNE",1.5,"Aotizhongxin",2015-09-19
"22375",22375,2015,9,19,6,18,18,2,73,600,7,17,1014.6,10.1,0,"ENE",1.2,"Aotizhongxin",2015-09-19
"22376",22376,2015,9,19,7,13,23,2,61,500,18,17.7,1015,10.6,0,"ENE",1.2,"Aotizhongxin",2015-09-19
"22377",22377,2015,9,19,8,13,37,2,55,400,22,20,1015.1,9,0,"NNE",2.2,"Aotizhongxin",2015-09-19
"22378",22378,2015,9,19,9,15,47,2,51,500,29,21.7,1015.4,9.9,0,"NNE",1.8,"Aotizhongxin",2015-09-19
"22379",22379,2015,9,19,10,14,40,2,47,700,42,23.5,1015.2,9.5,0,"NE",2.3,"Aotizhongxin",2015-09-19
"22380",22380,2015,9,19,11,14,29,2,34,400,65,25.4,1014.7,10,0,"ENE",1.9,"Aotizhongxin",2015-09-19
"22381",22381,2015,9,19,12,14,36,2,35,500,81,26.7,1013.8,9.1,0,"SSW",1.2,"Aotizhongxin",2015-09-19
"22382",22382,2015,9,19,13,14,23,3,33,600,100,27.3,1012.7,7.7,0,"WSW",1.3,"Aotizhongxin",2015-09-19
"22383",22383,2015,9,19,14,13,22,3,34,500,113,28.1,1011.6,7.9,0,"WSW",1.5,"Aotizhongxin",2015-09-19
"22384",22384,2015,9,19,15,15,24,2,34,400,126,28,1010.9,7.3,0,"ESE",1.9,"Aotizhongxin",2015-09-19
"22385",22385,2015,9,19,16,17,33,2,38,400,142,28.3,1010.3,8,0,"SE",1.4,"Aotizhongxin",2015-09-19
"22386",22386,2015,9,19,17,18,43,3,40,400,161,27.6,1010.1,8.5,0,"S",1.7,"Aotizhongxin",2015-09-19
"22387",22387,2015,9,19,18,23,61,4,61,500,149,26.3,1010.1,8.7,0,"SE",2,"Aotizhongxin",2015-09-19
"22388",22388,2015,9,19,19,25,72,3,77,600,121,23.6,1010.3,11,0,"SSE",0.7,"Aotizhongxin",2015-09-19
"22389",22389,2015,9,19,20,29,71,4,75,800,94,22.7,1010.8,10.5,0,"S",1,"Aotizhongxin",2015-09-19
"22390",22390,2015,9,19,21,37,89,4,117,1000,45,21.5,1011.1,10.3,0,"SSW",1.3,"Aotizhongxin",2015-09-19
"22391",22391,2015,9,19,22,44,108,6,146,1400,16,22.3,1011,10.1,0,"SSW",1.1,"Aotizhongxin",2015-09-19
"22392",22392,2015,9,19,23,55,118,9,124,1400,37,22.7,1011,14.8,0,"SSW",2.7,"Aotizhongxin",2015-09-19
"22393",22393,2015,9,20,0,91,162,13,104,1600,58,22,1011.1,15.8,0,"SSW",2.3,"Aotizhongxin",2015-09-20
"22394",22394,2015,9,20,1,99,155,10,84,1800,70,21.6,1011.1,16.5,0,"SSW",2.8,"Aotizhongxin",2015-09-20
"22395",22395,2015,9,20,2,109,142,8,60,1800,78,19.5,1011,16.7,0,"NE",0.6,"Aotizhongxin",2015-09-20
"22396",22396,2015,9,20,3,120,142,6,54,1500,77,18.5,1010.7,16.7,0,"E",0.9,"Aotizhongxin",2015-09-20
"22397",22397,2015,9,20,4,88,88,4,79,1300,56.3533584105554,18.3,1010.4,16.6,0,"ESE",1.3,"Aotizhongxin",2015-09-20
"22398",22398,2015,9,20,5,62,96,3,90,1100,2,18.7,1010.6,16.8,0,"E",1.2,"Aotizhongxin",2015-09-20
"22399",22399,2015,9,20,6,60,100,3,86,1200,2,18.2,1010.8,15.8,0,"NE",1,"Aotizhongxin",2015-09-20
"22400",22400,2015,9,20,7,55,84,4,82,1000,2,18.1,1010.8,15.5,0,"ENE",1.2,"Aotizhongxin",2015-09-20
